censored_proportion,events_proportion,ijk_std,ijk_std_rel_error(%),ijk_std_cv,jkab_std,jkab_std_rel_error(%),jkab_std_cv,True_Y,RF_Y_pred,WB_Y_pred,wb_emp_std,rf_emp_std,ijk_biased_std,ijk_biased_std_rel_error(%),ijk_biased_std_cv,wb_mse,rf_mse,events_bin
0.1,0.09,0.0142,2.9492,0.4647887323943662,0.0175,27.3474,0.5028571428571429,0.9458,0.9302,0.9308,0.0045,0.0138,0.0328,138.5791,0.5792682926829268,0.0834,0.083,EE1
0.1,0.18,0.0242,-0.6595,0.3553719008264463,0.0288,18.1437,0.3819444444444444,0.8822,0.8515,0.855,0.0068,0.0244,0.0518,112.257,0.3687258687258687,0.1462,0.145,EE2
0.1,0.27,0.0334,-0.7095,0.33532934131736525,0.0393,16.6547,0.3307888040712468,0.813,0.7679,0.7763,0.0085,0.0337,0.0695,106.6273,0.3151079136690647,0.188,0.1866,EE3
0.1,0.36,0.0422,-2.1927,0.3246445497630332,0.0494,14.487,0.31781376518218624,0.7378,0.6799,0.6941,0.0099,0.0432,0.0856,98.2415,0.28504672897196265,0.2118,0.2109,EE4
0.3,0.07,0.0147,7.0437,0.5578231292517007,0.0243,76.8325,0.6213991769547326,0.9528,0.9393,0.9404,0.0051,0.0137,0.0315,128.827,0.6444444444444444,0.0746,0.0744,EE1
0.3,0.14,0.0257,3.1487,0.4591439688715953,0.0401,61.2878,0.4812967581047382,0.897,0.8691,0.8734,0.0075,0.0249,0.0507,103.763,0.47534516765285995,0.134,0.1332,EE2
0.3,0.21,0.0355,4.0205,0.3774647887323944,0.0546,60.2756,0.3791208791208791,0.8348,0.7939,0.8016,0.0093,0.0341,0.0679,99.2487,0.37555228276877756,0.1772,0.1762,EE3
0.3,0.28,0.045,4.0467,0.3644444444444445,0.0693,60.0975,0.3463203463203463,0.7677,0.7141,0.7268,0.0109,0.0433,0.0843,94.7055,0.33926453143534996,0.2046,0.2039,EE4
0.5,0.05,0.0165,12.6821,0.8545454545454545,0.0361,147.0407,0.9529085872576177,0.961,0.9498,0.9509,0.0056,0.0146,0.0313,114.0904,0.9297124600638977,0.0636,0.0639,EE1
0.5,0.1,0.027,13.5636,0.5962962962962963,0.0563,136.9344,0.655417406749556,0.9179,0.8947,0.8983,0.008,0.0238,0.0486,104.3039,0.6337448559670782,0.1146,0.1146,EE2
0.5,0.15,0.038,20.144,0.5,0.0783,147.3973,0.5146871008939975,0.8684,0.8337,0.8403,0.01,0.0317,0.0662,109.1221,0.5045317220543807,0.1565,0.1562,EE3
0.5,0.2,0.047,16.8068,0.4212765957446809,0.0968,140.6213,0.4163223140495868,0.8145,0.769,0.7789,0.0117,0.0402,0.0807,100.5901,0.4089219330855019,0.1874,0.1872,EE4
0.7,0.03,0.0191,28.4093,1.1832460732984293,0.0682,357.6504,1.2331378299120235,0.9704,0.9624,0.9629,0.006,0.0149,0.0317,112.3549,1.192429022082019,0.0501,0.0514,EE1
0.7,0.06,0.03,38.893,0.76,0.1043,382.4835,0.8456375838926175,0.9395,0.9224,0.9248,0.0085,0.0216,0.0473,118.6865,0.7970401691331923,0.0911,0.0925,EE2
0.7,0.09,0.0424,39.2486,0.5518867924528302,0.1541,405.4485,0.6353017521090202,0.9011,0.8738,0.8783,0.011,0.0305,0.0647,112.2976,0.5857805255023185,0.1308,0.1326,EE3
0.7,0.12,0.0563,40.0421,0.5701598579040852,0.2273,465.1449,0.6040475142982842,0.862,0.8249,0.8322,0.0132,0.0402,0.0842,109.3461,0.5760095011876485,0.1612,0.1636,EE4
