,portion_zero_weights_train,portion_seen_events_train,portion_zero_weights_test,portion_seen_events_test,wb_test_mse,rf_test_mse,wb_pred,rf_pred,ijk_butt_var,ijk_u_butt_var,ijk_u2_butt_var,ijk_jahn_var,ijk_u_jahn_var,ijk_u2_jahn_var,ijk_wager_var,ijk_u_wager_var,jk_wager_var,jk_u_wager_var,boot_var
0,0.516,0.2,0.5151515151515151,0.2097902097902098,0.21990447660960172,0.23313076918282324,0.7266425425555096,0.7303707817057398,0.031006188013958637,0.017587699035342158,0.017553370735373053,0.03234530853324333,0.018471647364336947,0.018417013650927898,0.02813933468028318,0.015676348551755162,0.06460765544176769,0.04319273284878086,0.0051415175628354275
1,0.51,0.19,0.5244755244755245,0.19347319347319347,0.16028753631915604,0.17012284221858964,0.7698563620117698,0.7564375733152152,0.04157381690759235,0.014342137851142026,0.014527269761445801,0.044617771414124416,0.01656111117357901,0.01669893140166018,0.037322564744742694,0.011749814693056224,0.11302791827208904,0.06908672655455107,0.006370317208977845
2,0.53,0.19,0.5221445221445221,0.1561771561771562,0.17166242061819117,0.17323382649374644,0.7676216882185007,0.8073618838087554,0.004986135771965202,0.0016503284513991537,0.001647192722680629,0.005619957477724917,0.002179014434958929,0.0021644863695303943,0.004274096772713546,0.0011637661740130823,0.014450554693554302,0.009106130145307152,0.002005978388548063
3,0.49,0.199,0.5058275058275058,0.2097902097902098,0.1847617457993498,0.19104368869639846,0.7377235575529054,0.7930851701966777,0.0071734116575504015,0.0019557556897936215,0.0019161387984005076,0.007556479780567481,0.0022208625840019645,0.0021781446157047918,0.006654569366862876,0.0016989844818976292,0.020489954772520535,0.011974863315298444,0.0036912716501894694
4,0.508,0.184,0.5174825174825175,0.1864801864801865,0.17943130842413707,0.18050702329935356,0.7703372654762287,0.7624970389390943,0.02176679924253625,0.0037131898690838626,0.003956579703977978,0.023360143264548824,0.004856469910655824,0.0050376096740159595,0.019855954999206435,0.002765189292250999,0.06615408358593003,0.0367873314372175,0.0019176242163318113
5,0.479,0.205,0.4592074592074592,0.2097902097902098,0.17793339977247682,0.18453644869015598,0.7323835715456721,0.7264090350095334,0.05757354812847615,0.02375937489032736,0.02395344611964339,0.06291016802639304,0.028434483971201026,0.028707889328830928,0.05101380953535917,0.018835323434845633,0.13823231020910773,0.08294060227527336,0.0048502685342295725
6,0.466,0.22,0.46386946386946387,0.22377622377622378,0.1985966454024521,0.20246446455680672,0.7177233145734372,0.703494137108838,0.06732417087602446,0.02755857291979888,0.027658227385717535,0.06987888347911189,0.02924722055905145,0.029347741477837988,0.062295730306528,0.024647658621984994,0.1524625274721725,0.08777253002009876,0.022386315192551916
7,0.503,0.189,0.46386946386946387,0.19813519813519814,0.18474835367055556,0.19717451479389808,0.7570671744970149,0.8201599249967142,0.011714138200618694,0.004953702635958283,0.004927415963742911,0.013755764658191309,0.00681125799052255,0.0067437157850208,0.009827443927542113,0.0034577972749691164,0.02601216458891667,0.015067316492095506,0.00368217996917722
8,0.493,0.19,0.5198135198135199,0.20745920745920746,0.20058015861416623,0.21841022269581037,0.7762020981461056,0.8207534106854396,0.003078082301915995,0.001248311085310808,0.001249069513321209,0.0032393515891610217,0.0013688351448436491,0.001357699694370277,0.0028225917839160646,0.0010828639461426595,0.0074527790317674425,0.004463436301657055,0.0020068868959804338
9,0.493,0.208,0.48484848484848486,0.22377622377622378,0.2190765832835974,0.22259107798157662,0.7443618290952818,0.7258146789198993,0.011698304818957828,0.004816696888978532,0.0048275003379744125,0.01216598348235388,0.005127284953331547,0.005134342908099447,0.010853158201696212,0.0043502493560739815,0.02650164315513449,0.015327813053576226,0.0031681247439301107
10,0.502,0.211,0.48484848484848486,0.21212121212121213,0.1956222445504298,0.19764967989880314,0.746604962279678,0.7241447353412639,0.005337119161753422,0.002370073031204605,0.0023627835808528613,0.0057550043430898545,0.0027058245690230157,0.002676192644492467,0.004759627574445514,0.0019836835911029283,0.012582072467674139,0.007812218364276355,0.0017540152827139456
11,0.507,0.189,0.49184149184149184,0.1888111888111888,0.16685781818243156,0.17203931882102724,0.7548202331410164,0.7731490352073618,0.008656857426410742,0.002994123338031923,0.0030385818572316705,0.009471836086916471,0.003664472643371524,0.003693429180431536,0.007717900744198855,0.0023558211100627993,0.0218375884940269,0.012624024495940592,0.0027995162718432508
12,0.488,0.21,0.4825174825174825,0.20512820512820512,0.19171906625409854,0.2009848383155905,0.7432337170361312,0.7184621914397447,0.007919815904011659,0.0026144679440024497,0.002601496464506323,0.00834620899003154,0.002917534134688161,0.00289964227937598,0.007218218351385293,0.0022212360415049537,0.020589402771080765,0.012003178870882073,0.0028148426405377636
13,0.49,0.198,0.5151515151515151,0.20046620046620048,0.1833414642130328,0.1932802660678784,0.7553067609150773,0.8219120647838338,0.004700235155994526,0.0023873763210126332,0.002379014407920573,0.005328843371796036,0.0029616863554219565,0.0029515579793933946,0.004023357601041718,0.0018365516052553923,0.010432518286545291,0.00667496928162036,0.0034956587489473777
