,portion_zero_weights_train,portion_seen_events_train,portion_zero_weights_test,portion_seen_events_test,wb_test_mse,rf_test_mse,wb_pred,rf_pred,ijk_butt_var,ijk_u_butt_var,ijk_u2_butt_var,ijk_jahn_var,ijk_u_jahn_var,ijk_u2_jahn_var,ijk_wager_var,ijk_u_wager_var,jk_wager_var,jk_u_wager_var,boot_var
0,0.5005,0.206,0.5198135198135199,0.1958041958041958,0.19434144923247904,0.19602190274933298,0.7300184490043456,0.7026572335894311,0.0,0.0,0.0,0.015036699190979459,0.006348525532765683,0.006315993023785988,0.012413866421300173,0.004432264825781908,0.0,0.0,0.0
1,0.5025,0.1855,0.5314685314685315,0.17365967365967366,0.16789715479991307,0.17381364412135847,0.754970818138002,0.8051216495203287,0.0,0.0,0.0,0.009446375145571199,0.00466958739929345,0.004675748879529282,0.007638276609307292,0.003216455884662779,0.0,0.0,0.0
2,0.488,0.2105,0.49067599067599066,0.21561771561771562,0.1887504616196906,0.19865721850343393,0.7405266930573673,0.7258005848791117,0.0,0.0,0.0,0.004927869678421502,0.0021375663721132318,0.0021349808014959563,0.004102289542150334,0.0015463188738951117,0.0,0.0,0.0
3,0.497,0.203,0.49184149184149184,0.21328671328671328,0.19307866011533617,0.1980421676362552,0.7297216522467722,0.7103299631744552,0.0,0.0,0.0,0.008940897277384792,0.0040786996194102825,0.004075095978760298,0.007186210207085004,0.0027149126313657608,0.0,0.0,0.0
4,0.497,0.1885,0.5011655011655012,0.1993006993006993,0.18796458418991357,0.19479096263880005,0.7549607687576295,0.8121026227250152,0.0,0.0,0.0,0.005280760883065445,0.002156568875499445,0.002149594559973846,0.0042900740918413015,0.0014075965556628813,0.0,0.0,0.0
5,0.518,0.1945,0.5023310023310024,0.19230769230769232,0.17790125929063488,0.18386318464429413,0.7253914218280468,0.7685727512386622,0.0,0.0,0.0,0.0045796451180320375,0.0013268428113602754,0.001326686363819371,0.003859134193217231,0.0009009159902896953,0.0,0.0,0.0
6,0.5125,0.195,0.5116550116550117,0.18997668997668998,0.19461012063612448,0.19587006941818136,0.7501697077064594,0.7972276246420748,0.0,0.0,0.0,0.011300918282701548,0.004504662453643938,0.0044585200968307055,0.009753687494901504,0.0035874925724908484,0.0,0.0,0.0
7,0.5015,0.19,0.5151515151515151,0.19230769230769232,0.18134859937579254,0.19044073342332726,0.7551638001913936,0.8377624367082228,0.0,0.0,0.0,0.007649957186656194,0.002918906846458769,0.0029191242426289113,0.006504078996680278,0.002125105192922718,0.0,0.0,0.0
8,0.495,0.2,0.4825174825174825,0.2062937062937063,0.19503086133508463,0.19653500332515478,0.7445353371512677,0.700192597303704,0.0,0.0,0.0,0.01295551720216648,0.005239460279613593,0.005242832828604702,0.01113469558307388,0.0040288707718911425,0.0,0.0,0.0
9,0.518,0.1935,0.5198135198135199,0.19347319347319347,0.19695718450394478,0.2089088877973854,0.7742534265704774,0.8019550002269866,0.0,0.0,0.0,0.006907611787136212,0.002563337504645882,0.0025574399963554104,0.005651503212957967,0.0017236940788829553,0.0,0.0,0.0
