wb_test_mse,rf_test_mse,wb_pred,rf_pred,ijk_jahn_var,ijk_u_jahn_var,ijk_wager_var,ijk_u_wager_var,boot_var,portion_zero_weights_train,portion_seen_events_train,portion_zero_weights_test,portion_seen_events_test
0.17995619693286194,0.1828013304867157,0.8043112438104242,0.8405303532783669,0.001124118939107044,0.0006930942566338359,0.00093515622732746,0.0005098664827805873,0.00023181404125781013,0.301,0.2,0.28438228438228436,0.20279720279720279
0.16430251629969272,0.16479635357579175,0.7961356752932762,0.7969509650049776,0.0013416266217000027,0.0007977873050920905,0.001202334341916786,0.0006642627606902416,0.0007190080026360486,0.291,0.199,0.29603729603729606,0.18414918414918416
0.18086563586228976,0.1770636561253299,0.7876719683450726,0.793438709495214,0.0013414292530186962,0.0008116638569049222,0.0011590842634242888,0.0006349793896627946,0.000988432214988179,0.296,0.187,0.32400932400932403,0.1888111888111888
0.19003053788320776,0.18800005076495446,0.7913878505261128,0.741211315078931,0.0015917868895827623,0.0009421931137639062,0.0014277842791448098,0.0007854474851306457,0.0012364196781953487,0.299,0.194,0.2703962703962704,0.21445221445221446
0.16597418341387438,0.17077572594440538,0.7907886727444279,0.7760770222737003,0.0016064739571531432,0.0010208358686126912,0.0014008094935991392,0.0008227946930495186,0.00098814846390602,0.312,0.189,0.31934731934731936,0.17482517482517482
0.15575180515650155,0.15739614737885807,0.7934531787839907,0.8137957120479992,0.0010672340491329588,0.000654800806262732,0.0009326627046364048,0.0005255719430544161,0.0004927606784402087,0.307,0.182,0.28205128205128205,0.16783216783216784
0.15855797009425035,0.16018888818696944,0.8130951518337106,0.8318121927568756,0.0013660253799004849,0.0008393088849174796,0.0011811667885127082,0.0006601895528489211,0.0013858272468906879,0.281,0.193,0.29603729603729606,0.16083916083916083
0.191290136679333,0.19536308139657335,0.8095233284242112,0.8262683771047822,0.0012008366625853662,0.0007379611373607891,0.0010635138580013552,0.0006062698562619603,0.0005057339448581666,0.291,0.21,0.2727272727272727,0.22377622377622378
0.1775174622191972,0.18335440173152726,0.8042384797481261,0.8144090633652282,0.001140197039252911,0.0006855335101246851,0.0009913845324088318,0.000542622030871025,0.00018613899760585825,0.289,0.197,0.3076923076923077,0.1958041958041958
0.1886034958969831,0.18918973498355846,0.792356700445137,0.7782577518817446,0.0015760116096979276,0.0009703145488012126,0.001365016688690525,0.0007670296872206845,0.0004920081355989526,0.297,0.19,0.2727272727272727,0.21212121212121213
0.17705653444380423,0.1789437844948273,0.8140321628523501,0.801076177719189,0.0014342565324844247,0.0008951351241596606,0.001250564047914508,0.0007176028899954902,0.0008652234494702748,0.287,0.195,0.28205128205128205,0.19347319347319347
0.1835905032554522,0.18626826008306357,0.7856226410138866,0.8156614175355117,0.0013424749333155886,0.0008314054301170862,0.001121464994889494,0.0006173065012652165,0.0008754059530264479,0.293,0.204,0.27972027972027974,0.21212121212121213
0.19493253209424924,0.19507383072734102,0.7993947568775626,0.8032427273265633,0.0014179909925401744,0.0008801971946253578,0.0012174571256550824,0.000686240534986263,0.0005005008692497181,0.286,0.2,0.3146853146853147,0.21445221445221446
0.18273383728588483,0.18530364367723576,0.7975496314982934,0.7828480899543467,0.0014659367468363557,0.0008826870348255682,0.0012747936246978707,0.0006993160252180506,0.0007604581566702126,0.297,0.186,0.2937062937062937,0.20512820512820512
0.18858358287243449,0.19465641064194553,0.8137635006064863,0.8214690959275501,0.00129328059593982,0.0007985102034408954,0.001162758960262978,0.0006739941777415608,0.0005426977628750183,0.295,0.186,0.2867132867132867,0.2191142191142191
0.20226354672761102,0.20369911058402929,0.768673132963149,0.7890343053048041,0.0011495778559530785,0.0006672268375016899,0.0010161411679077506,0.0005400902025530403,0.00024129249819097133,0.283,0.219,0.29603729603729606,0.22843822843822845
0.16968190072007247,0.17108359845464394,0.8172207489470135,0.8033532804094385,0.0014060453801768525,0.000859700567627438,0.001251717480236407,0.0007118941023166886,0.0007791208970595089,0.289,0.192,0.28438228438228436,0.18414918414918416
0.18659290451529165,0.18856011716540377,0.8094297865071298,0.7778049900771783,0.0015057699394070798,0.0009070963959615815,0.0012761045485445855,0.0006864020675267301,0.0007167755269293541,0.306,0.206,0.3076923076923077,0.20745920745920746
0.1716090723388345,0.1764972844917237,0.810472230450163,0.8314228412846543,0.0011808444152799304,0.0007396697343889867,0.0009878736241085869,0.0005535875669103177,0.001279099281085425,0.309,0.185,0.3123543123543124,0.1958041958041958
0.1758505330455805,0.17902293169219408,0.807873630203429,0.8179742680043435,0.001072082984390738,0.000623441100980163,0.000953822497536297,0.0005095114501637952,0.0008976254454994216,0.277,0.199,0.289044289044289,0.20512820512820512
0.18300281531042278,0.18408016990028817,0.7871012009439277,0.7944499754428314,0.0011670573330707483,0.0006840245580069697,0.0010351262611772829,0.0005575974194449286,0.0007815596258260583,0.294,0.197,0.29603729603729606,0.20512820512820512
0.16554601616357306,0.1725733381725927,0.7896575208455904,0.7786031657940325,0.0014389991156685596,0.0008693483106457437,0.0013156181550205612,0.000751953851739992,0.0008580536602259949,0.298,0.18,0.3006993006993007,0.17715617715617715
0.17819875686554737,0.1783081530259226,0.7888694275491405,0.7795264167240828,0.0013407435109156042,0.0007996704126702665,0.0011802688117761848,0.0006459565489198208,0.0004179718597599849,0.283,0.21,0.3333333333333333,0.20279720279720279
0.18425848801257924,0.186284898719852,0.792553590937006,0.8061608050841844,0.0012249982735137925,0.0007274638607943457,0.00107626545504683,0.0005854445273563044,0.0004566360396124254,0.292,0.209,0.27505827505827507,0.20279720279720279
0.19519078345496962,0.20261586747952942,0.7783305200028168,0.7994569871260128,0.0014987332165236082,0.0009350298383541644,0.0013047220950561747,0.0007489540667167836,0.0011527740657375199,0.298,0.199,0.30536130536130535,0.21678321678321677
0.19289654445352078,0.19968316783710524,0.793152671238297,0.7840463933779652,0.0014133205215134791,0.0008680086473065798,0.0012489708322906247,0.0007108647838706843,0.0008237743833317756,0.287,0.209,0.31002331002331,0.21678321678321677
0.1702054753625455,0.17107489397319453,0.7544896397969446,0.7380029409544686,0.0015331459352033142,0.0009429002785949194,0.0013319668695036015,0.0007498370144850422,0.000389247271438594,0.285,0.211,0.29603729603729606,0.18414918414918416
0.17587136011034293,0.17849115385406544,0.7525588305030979,0.7370002767084188,0.0020566647154630752,0.0013095456058435924,0.0017835470878395105,0.0010497404202807598,0.00031183976095431373,0.311,0.204,0.3356643356643357,0.1888111888111888
0.16999159597213312,0.17204466433848078,0.8062887335394273,0.8122054518105373,0.0012570319398118655,0.0007550320831290883,0.0010997779758949008,0.0006025596794097113,0.0011146522560839904,0.279,0.182,0.28205128205128205,0.1958041958041958
0.19474195888825716,0.19709070769978676,0.7864991678427701,0.8140124493934683,0.001139630796671385,0.0006819771770868522,0.0009893055412204675,0.0005371571813202536,0.000558981087457173,0.293,0.19,0.289044289044289,0.22144522144522144
0.18247055320498431,0.1874145015089383,0.8060346457500303,0.8013201426770491,0.0016634076885028264,0.0010623285380908449,0.001424934507921808,0.0008343225856990036,0.0010094854212603984,0.316,0.198,0.3123543123543124,0.1958041958041958
0.1895882322580066,0.19199661398319223,0.7897141914830877,0.7924295448767266,0.0015025268821756426,0.0009048713471713714,0.0013599865382676714,0.0007691295808677797,0.00025047879219904627,0.293,0.191,0.2400932400932401,0.22843822843822845
0.21116616540598418,0.21290745211040343,0.7916488013074684,0.773074524430577,0.0012822501618985878,0.0007471418197204629,0.001166205574182347,0.0006366890939154177,0.0010075201549962015,0.284,0.191,0.2937062937062937,0.2400932400932401
0.17136567924431467,0.17522846566979947,0.789456260354748,0.7785509551517504,0.0014900247668607808,0.0009191422657045485,0.0012754606981378797,0.0007130391429233846,0.0007414010428733896,0.293,0.21,0.28205128205128205,0.1794871794871795
0.19693681024751725,0.19769370945973225,0.8141151075082411,0.7840978582921213,0.0014899301145625166,0.0009016080037075912,0.001303436551800991,0.000725852696411071,0.0007632688859484699,0.307,0.221,0.28438228438228436,0.23776223776223776
0.16737263062022228,0.17282545242447545,0.7940365702917471,0.7846940268395863,0.001483036580788805,0.0009279312272701066,0.0012878220354906747,0.0007412712750992528,0.0001872162413710377,0.304,0.2,0.29603729603729606,0.1888111888111888
0.18797977535836563,0.19522519903729552,0.7695410448940903,0.786331499233886,0.001522850936323609,0.0009504245733574345,0.0013384361101425836,0.000772872485627115,0.000441925123231651,0.295,0.183,0.29603729603729606,0.21678321678321677
0.17028262345045633,0.17310436451712144,0.7940934462804689,0.8093814205175602,0.0012937467228134115,0.000786303566916751,0.001104700000520666,0.0006035509785026006,0.00022968637576283613,0.293,0.207,0.2727272727272727,0.1958041958041958
0.18589055775583388,0.18598956501129055,0.7963676183584036,0.8024089713347561,0.0012649187914378437,0.0007644678955169402,0.0010745470733874028,0.0005797487062850328,0.00039745089174007066,0.293,0.198,0.2564102564102564,0.2097902097902098
0.1903907473823253,0.19488690084526783,0.7873776586650494,0.7670999378513086,0.0016875840199753614,0.0010416025475359042,0.0015068880469609556,0.0008680421585259265,0.0009450249830903717,0.295,0.199,0.3146853146853147,0.21678321678321677
0.17349580976353943,0.18106837572063716,0.7856182430380076,0.7605136466974145,0.0018457726606359217,0.0011598040779721437,0.0015796331211893452,0.0009036002755197893,0.0004157604901101391,0.307,0.191,0.3006993006993007,0.1864801864801865
0.16790103791639105,0.17525875142776998,0.7987409558509623,0.8382141465742712,0.0012358546677927655,0.0007647143725914695,0.001055899872956279,0.0005911479023215371,0.000475845848844368,0.285,0.215,0.3333333333333333,0.17016317016317017
0.18330006042969363,0.185559518831316,0.7842624088343307,0.7922783241239537,0.0018306096211169647,0.0011778296193711516,0.0015242070301699057,0.0008811009179700926,0.0009423855544285155,0.306,0.196,0.2937062937062937,0.2097902097902098
0.18146270885255641,0.1857510928227324,0.7818604378430045,0.8374212511836142,0.001314208248504429,0.0008151631949860721,0.001071308272454824,0.0005793746667641499,0.000456004513604614,0.293,0.205,0.28205128205128205,0.2097902097902098
0.1593147731106834,0.162004586971385,0.807392190863847,0.8210617401030483,0.001389176527167571,0.0008597276619578284,0.0012306233242088353,0.0007090583240694676,0.00023533245462534083,0.309,0.203,0.317016317016317,0.16083916083916083
0.20445494072191397,0.20810440453111304,0.7802410952453552,0.7806561432531045,0.0014181428568932793,0.0008735403213034255,0.0012468272640937092,0.0007090979428780452,0.0014269086985591642,0.283,0.213,0.28205128205128205,0.24242424242424243
0.1741038579888183,0.17615214451151953,0.7762608554315107,0.7821677469664359,0.0017449855415706654,0.001107762246219069,0.0015190033963938818,0.0008897975689242102,0.0004185181647361756,0.283,0.207,0.2727272727272727,0.20745920745920746
0.18452157295076968,0.18492386309049774,0.7853848962225374,0.7887263024615854,0.0015831748369774749,0.0009835028843345475,0.001375790424540567,0.0007857784258541462,0.0011884690372667055,0.296,0.209,0.31934731934731936,0.20745920745920746
0.17660155448645093,0.18647231039837384,0.7622041585395855,0.7702869518869386,0.0016792499326208977,0.0010599161090858278,0.0014790559702671934,0.000867988074913645,0.0012248279053369568,0.291,0.213,0.3356643356643357,0.1888111888111888
0.17952251620834947,0.1888959596638685,0.8165924126733555,0.8445452166286347,0.0011835451319349712,0.0007250083011046614,0.001003067832753251,0.0005504844135505757,0.0005359795114391259,0.308,0.183,0.32167832167832167,0.1888111888111888
0.17320162579610765,0.17223959385904178,0.7797532862793318,0.7692198729482166,0.001345081255760561,0.0007977545409560463,0.0012018448831495872,0.00066208801653847,0.000309077735892617,0.285,0.21,0.3123543123543124,0.1864801864801865
0.18318694825989995,0.18319510918960313,0.7827053662119073,0.7752591293178434,0.0017948873827219156,0.001163713176846198,0.0015335434392752157,0.0009117714090148312,0.00026080904098346025,0.316,0.187,0.2680652680652681,0.21445221445221446
0.2003104925353573,0.20493611174117113,0.7848443522124532,0.7861336367697815,0.0014421090434892263,0.0008550303225032926,0.0012688058185873776,0.0006889070683705015,0.0005038588934033769,0.278,0.204,0.2773892773892774,0.23776223776223776
0.1851036543229859,0.1878360506029704,0.7939988703448656,0.8103996558183341,0.001198225354672676,0.0007221058152174525,0.0009928679526388924,0.0005231815025796923,0.0005603085373032797,0.293,0.201,0.2937062937062937,0.21212121212121213
0.17620710220335753,0.17797157887440543,0.7982001646979074,0.8036822857840613,0.0013628157831152513,0.000831119330278339,0.0012078844792057348,0.0006822343374430473,0.0008059552918298729,0.291,0.195,0.31934731934731936,0.18414918414918416
0.17651558732552838,0.18147641333058484,0.7801230680230461,0.7679220107659247,0.0015719585587373002,0.0009517907122875607,0.001342899282596313,0.0007317199509273552,0.00045636381447577344,0.283,0.228,0.2913752913752914,0.1864801864801865
0.1748295296300688,0.1768396515525228,0.8192686096627305,0.7902953104453596,0.0016175699907362028,0.0010047296018312237,0.0014092142085835406,0.000802997813474253,0.0006634437829886366,0.292,0.193,0.31002331002331,0.1888111888111888
0.17639415291474828,0.1796189569416348,0.8115316613641704,0.7582153771359676,0.0016990565482880651,0.0010315321897290835,0.0015018031402518062,0.0008438532613868963,0.0013425952832660547,0.306,0.203,0.289044289044289,0.20512820512820512
