wb_test_mse,rf_test_mse,wb_pred,rf_pred,ijk_jahn_var,ijk_u_jahn_var,ijk_wager_var,ijk_u_wager_var,boot_var,portion_zero_weights_train,portion_seen_events_train,portion_zero_weights_test,portion_seen_events_test
0.1745202335116493,0.18037025248456912,0.7768766140840275,0.8436888511257469,0.006237189293661455,0.0024555227354170575,0.005490510796461933,0.0017731916449787678,0.001949332283913027,0.321,0.189,0.2773892773892774,0.21212121212121213
0.17264076989082883,0.17359591157149606,0.809105026712668,0.8557582334292676,0.006746352060594135,0.0012056696774524912,0.006445836523976617,0.0009720453713902167,0.0023612317323403065,0.294,0.184,0.32634032634032634,0.2097902097902098
0.1687431569405257,0.17125173570092317,0.816821263144639,0.8560783899697817,0.0026360652827646914,0.0009019703067552015,0.0024191627189935555,0.0007051675864159026,0.0007871245141099385,0.309,0.175,0.32867132867132864,0.18414918414918416
0.16501977441952317,0.16965698706627239,0.780111393136168,0.8020502599006814,0.00419368259994615,0.0010574492902263328,0.003910063831519756,0.0008139099428339787,0.00348897334319869,0.295,0.21,0.27972027972027974,0.19114219114219114
0.1624152290545778,0.1678375693747494,0.8082568417081089,0.7847596783775955,0.007943306749744541,0.003198077371234863,0.007166831635005431,0.002493991451147556,0.0016124740549365506,0.326,0.179,0.2913752913752914,0.19813519813519814
0.16875366720784216,0.1741311798243199,0.7759408563332395,0.800148834302962,0.011262513264355383,0.004192329521952047,0.010383946340170494,0.003415592091133946,0.003625821169987132,0.296,0.212,0.2937062937062937,0.1864801864801865
0.1582143025585296,0.1601012946663762,0.7715015602955582,0.7668426358260331,0.007815544745849078,0.0015908170422149065,0.007485397983096968,0.001350048801224764,0.004657120026744983,0.282,0.244,0.29836829836829837,0.1888111888111888
0.15878798660824664,0.161521900144025,0.8009496776495535,0.8111135870594878,0.016728129265245174,0.0031676517259469367,0.015522196459088347,0.002129313354522556,0.0024040936510653314,0.283,0.197,0.331002331002331,0.17715617715617715
0.15338003732651906,0.16519789593272333,0.7920525036640921,0.8207470786531822,0.0031051785434834975,0.0011177729658926037,0.0028557114846283252,0.0008951589334337011,0.00120788353406688,0.303,0.202,0.25874125874125875,0.19813519813519814
0.18505079123422172,0.19534902315813582,0.8070855932522732,0.7551492309847986,0.002857308858835187,0.0010908549072667173,0.002615323230136376,0.0008717737653499257,0.0014965438093055747,0.295,0.204,0.2937062937062937,0.2331002331002331
0.17917391125176513,0.18886763618807229,0.7805103906702923,0.808274671901019,0.0057695589725173975,0.001635930508125231,0.005328297414552645,0.001253320638061767,0.0010010846990008053,0.299,0.197,0.2867132867132867,0.20512820512820512
0.1757315401394237,0.17713418984582555,0.8154221370554324,0.8428311674603085,0.005763167330043055,0.0009224154526440032,0.0054353514251084395,0.0006561808034313797,0.001654273012086253,0.303,0.183,0.32634032634032634,0.1864801864801865
0.17592448403545083,0.18536163481711124,0.800704906804171,0.8019216957117333,0.007093653318422935,0.002232286002906911,0.006763149033073912,0.0019512071840534963,0.0023948887288775342,0.272,0.207,0.317016317016317,0.19114219114219114
0.15769363964137922,0.16223574295448415,0.7867906652474527,0.7975971726013754,0.013491519164296719,0.004347854538034176,0.012622459992425995,0.0036362301363816706,0.001747782176166457,0.307,0.203,0.2937062937062937,0.1888111888111888
0.16600674056958678,0.16561644773335016,0.7818786488279844,0.8042455869597631,0.0063346779805498596,0.0022858250739000467,0.005795100714313609,0.0018016765113803021,0.001166765888793403,0.294,0.202,0.28438228438228436,0.2097902097902098
0.16120755118513494,0.16674495725347152,0.7675587087296225,0.7668582835240628,0.024874558831125212,0.00852412695187416,0.022996144343845726,0.006919546876951767,0.003369860906934037,0.31,0.215,0.27505827505827507,0.1958041958041958
0.16658998988519413,0.1712841706816067,0.7823962136012358,0.7919412238959898,0.006074315435117803,0.0022563274004334987,0.005570314839201914,0.0018024831242096527,0.0007704741193372537,0.295,0.203,0.27505827505827507,0.1864801864801865
0.17318343812548798,0.1736567881513073,0.7743808866038728,0.7202576866110255,0.0068078352173615644,0.0019718613955107883,0.006538663604657262,0.0017832472118816797,0.0017027500108807857,0.304,0.217,0.2680652680652681,0.20279720279720279
0.17162942381141857,0.17039833556051018,0.787808369035711,0.8259156843704077,0.008029666624611142,0.0027081466142344574,0.007345086431695503,0.0021401483217650076,0.0027033381270126,0.328,0.198,0.29836829836829837,0.1888111888111888
0.1590869953322247,0.1666894814345681,0.7833958763444328,0.787970421410057,0.005011555915340436,0.0011662821458990852,0.004716195337192176,0.0009180319464735724,0.0016944103790484607,0.292,0.213,0.2727272727272727,0.18414918414918416
0.16992649821338793,0.1688785783975812,0.7874841408404186,0.7349640989732272,0.018087739115391258,0.005216109971789491,0.016966653733135682,0.004272464463403104,0.0030051959679531044,0.303,0.204,0.30303030303030304,0.1958041958041958
0.1657367951224451,0.17485961089022636,0.7942894749739265,0.8344919497978266,0.0026502701581321703,0.000957214613232382,0.002393746110849377,0.0007221564880739309,0.001458713953593564,0.31,0.185,0.2727272727272727,0.1958041958041958
0.19691629013944428,0.19870855063478599,0.7766053602912297,0.7269860956673663,0.018173446321022482,0.004408386837203942,0.01647548989580059,0.0029343437692944153,0.0019019915559750945,0.297,0.215,0.2913752913752914,0.2331002331002331
0.159309541041505,0.1656693381595062,0.7685928403924949,0.8247248771488477,0.008726391797375185,0.002961500309369376,0.008155987091632592,0.0024772512063773464,0.0007389545809376028,0.301,0.199,0.29603729603729606,0.1888111888111888
0.1799151947823978,0.18602728843948213,0.764346219893496,0.8217311174605139,0.00861511724094093,0.0015951619188484117,0.008197759321888636,0.001282433257234164,0.007290857443731232,0.303,0.211,0.3006993006993007,0.20745920745920746
0.18529038863234415,0.18933649094582375,0.7902181051990176,0.8017408992295213,0.004426040209313698,0.0013631141287497356,0.00415065766102677,0.0011352832974460226,0.0015737668444370757,0.322,0.189,0.32867132867132864,0.21445221445221446
0.16763847000178447,0.17176628517177794,0.7869805037128123,0.7735787037949258,0.007203918582640689,0.0011547896969648095,0.0066842926846520725,0.0007280151674173363,0.001476057912057215,0.296,0.219,0.27505827505827507,0.1958041958041958
0.15761819439858044,0.15871648389626622,0.8200748510615979,0.7824100333534688,0.02721151556642835,0.011779406291478266,0.025598990565135444,0.01031669677592819,0.006075516484256187,0.286,0.207,0.30536130536130535,0.17249417249417248
