,portion_zero_weights_train,portion_seen_events_train,portion_zero_weights_test,portion_seen_events_test,wb_test_mse,rf_test_mse,wb_pred,rf_pred,ijk_butt_var,ijk_u_butt_var,ijk_u2_butt_var,ijk_jahn_var,ijk_u_jahn_var,ijk_u2_jahn_var,ijk_wager_var,ijk_u_wager_var,jk_wager_var,jk_u_wager_var,boot_var
0,0.321,0.189,0.2773892773892774,0.21212121212121213,0.1745202335116493,0.18037025248456912,0.7768766140840275,0.8436888511257469,0.0,0.0,0.0,0.006237189293661455,0.0024500480385812942,0.006237189293661455,0.005490510796461933,0.0017731916449787678,0.0,0.0,0.0
1,0.294,0.184,0.32634032634032634,0.2097902097902098,0.17264076989082883,0.17359591157149606,0.809105026712668,0.8557582334292676,0.0,0.0,0.0,0.006746352060594135,0.0011979164321938704,0.006746352060594135,0.006445836523976617,0.0009720453713902167,0.0,0.0,0.0
2,0.309,0.175,0.32867132867132864,0.18414918414918416,0.1687431569405257,0.17125173570092317,0.816821263144639,0.8560783899697817,0.0,0.0,0.0,0.0026360652827646914,0.0008994898507022672,0.0026360652827646914,0.0024191627189935555,0.0007051675864159026,0.0,0.0,0.0
3,0.295,0.21,0.27972027972027974,0.19114219114219114,0.16501977441952317,0.16965698706627239,0.780111393136168,0.8020502599006814,0.0,0.0,0.0,0.00419368259994615,0.0010530575825828067,0.00419368259994615,0.003910063831519756,0.0008139099428339787,0.0,0.0,0.0
4,0.326,0.179,0.2913752913752914,0.19813519813519814,0.1624152290545778,0.1678375693747494,0.8082568417081089,0.7847596783775955,0.0,0.0,0.0,0.007943306749744541,0.003191144373929436,0.007943306749744541,0.007166831635005431,0.002493991451147556,0.0,0.0,0.0
5,0.296,0.212,0.2937062937062937,0.1864801864801865,0.16875366720784216,0.1741311798243199,0.7759408563332395,0.800148834302962,0.0,0.0,0.0,0.011262513264355383,0.004182431291484666,0.011262513264355383,0.010383946340170494,0.003415592091133946,0.0,0.0,0.0
6,0.282,0.244,0.29836829836829837,0.1888111888111888,0.1582143025585296,0.1601012946663762,0.7715015602955582,0.7668426358260331,0.0,0.0,0.0,0.007815544745849078,0.0015822719876440539,0.007815544745849078,0.007485397983096968,0.001350048801224764,0.0,0.0,0.0
7,0.283,0.197,0.331002331002331,0.17715617715617715,0.15878798660824664,0.161521900144025,0.8009496776495535,0.8111135870594878,0.0,0.0,0.0,0.016728129265245174,0.0031489726700130935,0.016728129265245174,0.015522196459088347,0.002129313354522556,0.0,0.0,0.0
8,0.303,0.202,0.25874125874125875,0.19813519813519814,0.15338003732651906,0.16519789593272333,0.7920525036640921,0.8207470786531822,0.0,0.0,0.0,0.0031051785434834975,0.0011149601214862984,0.0031051785434834975,0.0028557114846283252,0.0008951589334337011,0.0,0.0,0.0
9,0.299,0.197,0.2867132867132867,0.20512820512820512,0.17917391125176513,0.18886763618807229,0.7805103906702923,0.808274671901019,0.0,0.0,0.0,0.0057695589725173975,0.0016301174171459284,0.0057695589725173975,0.005328297414552645,0.001253320638061767,0.0,0.0,0.0
10,0.295,0.204,0.2937062937062937,0.2331002331002331,0.18505079123422172,0.19534902315813582,0.8070855932522732,0.7551492309847986,0.0,0.0,0.0,0.002857308858835187,0.0010883817874585097,0.002857308858835187,0.002615323230136376,0.0008717737653499257,0.0,0.0,0.0
