censored_proportion,events_proportion,ijk_std,ijk_std_rel_error(%),ijk_std_cv,jkab_std,jkab_std_rel_error(%),jkab_std_cv,True_Y,RF_Y_pred,WB_Y_pred,wb_emp_std,rf_emp_std,ijk_biased_std,ijk_biased_std_rel_error(%),ijk_biased_std_cv,wb_mse,rf_mse,events_bin
0.1,0.09,0.0232,-1.9762,0.6379310344827587,0.0255,7.5194,0.6313725490196078,0.9458,0.939,0.9317,0.0093,0.0237,0.0299,26.3885,0.6421404682274247,0.0828,0.084,EE1
0.1,0.18,0.0382,5.5215,0.42408376963350786,0.0406,12.1567,0.4507389162561577,0.8822,0.8606,0.856,0.0138,0.0362,0.0471,30.0395,0.42250530785562634,0.146,0.1467,EE2
0.1,0.27,0.0515,3.5979,0.3533980582524272,0.0542,8.9894,0.3634686346863468,0.813,0.7774,0.7771,0.0175,0.0497,0.0623,25.4114,0.34991974317817015,0.1882,0.1889,EE3
0.1,0.36,0.0628,4.6466,0.30891719745222934,0.0661,10.2387,0.31618759455370643,0.7378,0.6887,0.6945,0.0203,0.06,0.0751,25.1939,0.2956058588548602,0.2127,0.2138,EE4
0.3,0.07,0.0246,-0.7752,0.7601626016260163,0.0285,15.184,0.750877192982456,0.9528,0.9483,0.9414,0.0105,0.0248,0.0306,23.6358,0.7516339869281046,0.0741,0.0757,EE1
0.3,0.14,0.0415,12.2902,0.5036144578313252,0.046,24.2983,0.5369565217391304,0.897,0.8783,0.8747,0.0155,0.037,0.0495,33.8989,0.5030303030303029,0.1345,0.1362,EE2
0.3,0.21,0.0555,14.8227,0.3927927927927928,0.0607,25.4714,0.4036243822075783,0.8348,0.8051,0.8027,0.0188,0.0484,0.065,34.4565,0.38769230769230767,0.1775,0.1795,EE3
0.3,0.28,0.0684,8.2643,0.3654970760233918,0.0755,19.5017,0.3695364238410596,0.7677,0.7251,0.7272,0.0218,0.0632,0.0794,25.5589,0.3526448362720403,0.2057,0.2079,EE4
0.5,0.05,0.0274,-14.46,1.0547445255474452,0.0355,10.8811,0.9943661971830986,0.961,0.9578,0.9522,0.0115,0.032,0.0327,2.1384,1.0122324159021405,0.0638,0.0667,EE1
0.5,0.1,0.0436,12.9126,0.658256880733945,0.0529,36.8975,0.6937618147448016,0.9179,0.9044,0.8997,0.0164,0.0387,0.0504,30.3271,0.6488095238095238,0.1159,0.119,EE2
0.5,0.15,0.059,21.3964,0.5016949152542374,0.07,44.1581,0.52,0.8684,0.8446,0.8423,0.0204,0.0486,0.067,37.9193,0.49552238805970145,0.1581,0.1617,EE3
0.5,0.2,0.0752,24.113,0.4215425531914893,0.0898,48.2049,0.4253897550111358,0.8145,0.7797,0.7801,0.0237,0.0606,0.0847,39.8292,0.41322314049586784,0.1891,0.1942,EE4
0.7,0.03,0.0355,-20.1218,1.5746478873239438,0.0623,39.922,1.4285714285714284,0.9704,0.9672,0.9652,0.0124,0.0445,0.0401,-9.8089,1.5112219451371574,0.0505,0.0571,EE1
0.7,0.06,0.0526,16.9223,1.0247148288973384,0.0844,87.4321,0.9751184834123222,0.9395,0.9314,0.9265,0.0175,0.045,0.0581,29.1009,0.9965576592082617,0.0928,0.101,EE2
0.7,0.09,0.0732,21.0397,0.7745901639344263,0.1201,98.4606,0.7610324729392173,0.9011,0.8819,0.8797,0.0228,0.0605,0.0798,31.9352,0.7606516290726817,0.1327,0.1429,EE3
0.7,0.12,0.0936,34.0902,0.6698717948717949,0.1654,136.8618,0.6590084643288997,0.862,0.8354,0.8337,0.0266,0.0698,0.1013,45.135,0.6554787759131293,0.1637,0.1765,EE4
