,portion_zero_weights_train,portion_seen_events_train,portion_zero_weights_test,portion_seen_events_test,wb_test_mse,rf_test_mse,wb_pred,rf_pred,ijk_butt_var,ijk_u_butt_var,ijk_u2_butt_var,ijk_jahn_var,ijk_u_jahn_var,ijk_u2_jahn_var,ijk_wager_var,ijk_u_wager_var,jk_wager_var,jk_u_wager_var,boot_var
0,0.0998,0.2082,0.09561567164179105,0.21315298507462688,0.16214265641427847,0.16416163828205707,0.8158634682654603,0.8325442239531036,0.0,0.0,0.0,0.00317184828544923,0.0007351516076581346,0.0007343493496191657,0.003119552861980363,0.0006847632927182781,0.0,0.0,0.0
1,0.094,0.2026,0.10074626865671642,0.21222014925373134,0.16660464089544622,0.16706960615427902,0.8172120743631852,0.8086361255973735,0.0,0.0,0.0,0.0025477031156860767,0.0007663688755689662,0.0007681654912654423,0.002496378649425904,0.0007161532283058184,0.0,0.0,0.0
2,0.1032,0.1952,0.09701492537313433,0.19916044776119404,0.15481701587057145,0.15704682787476582,0.8147673510958686,0.8490855823574243,0.0,0.0,0.0,0.0015124942267458654,0.0003907886547632926,0.0003900298423622592,0.0014933752476197749,0.00037246299484891316,0.0,0.0,0.0
3,0.098,0.2042,0.08628731343283583,0.19309701492537312,0.15368652816299308,0.15657287188818678,0.8105061287764755,0.8119986334318685,0.0,0.0,0.0,0.0006912709024117829,0.0002559362005385746,0.0002564628874952136,0.0006728046259662936,0.00023782963709774555,0.0,0.0,0.0
4,0.1056,0.1894,0.10541044776119403,0.19309701492537312,0.1547075986954292,0.1566217533487506,0.8206536725881345,0.8241544401760257,0.0,0.0,0.0,0.0007820296899628259,0.00024767219067707417,0.00024761281776928754,0.0007629322702385865,0.00022902115618874427,0.0,0.0,0.0
5,0.1044,0.2,0.10960820895522388,0.19169776119402984,0.15187326825276157,0.15329205513839522,0.8133859194450549,0.7849826017839486,0.0,0.0,0.0,0.00291941002230784,0.0007084447009672585,0.0006959539928040439,0.002867933032194141,0.0006590872149538499,0.0,0.0,0.0
6,0.101,0.1998,0.09888059701492537,0.19496268656716417,0.15096446109347034,0.15293936610092926,0.812730043633465,0.8599792514135999,0.0,0.0,0.0,0.0010799107498370372,0.0001762565414670567,0.00017644341805778184,0.0010685312825673894,0.00016558937736031005,0.0,0.0,0.0
7,0.0992,0.205,0.10261194029850747,0.19962686567164178,0.15622321081007562,0.1575775281981623,0.8073400194437558,0.8435053439787354,0.0,0.0,0.0,0.0007374681381493515,0.00019381702167795966,0.00019380950887664089,0.0007231014527579098,0.00017988892427969435,0.0,0.0,0.0
8,0.0942,0.2104,0.09748134328358209,0.208955223880597,0.16001608540252088,0.16262865944590463,0.8128334030532607,0.8313167068016457,0.0,0.0,0.0,0.002608971199673947,0.000542539538927825,0.0005393997713089415,0.0025691186096039017,0.0005040376601644927,0.0,0.0,0.0
9,0.1018,0.1988,0.11473880597014925,0.2150186567164179,0.16627358986938265,0.1678278141858466,0.8153953542988597,0.8272025875952953,0.0,0.0,0.0,0.0009663694690140052,0.0001670511352154198,0.00016681211318349352,0.0009526789533695599,0.00015400104251186986,0.0,0.0,0.0
