censored_proportion,events_proportion,ijk_std,ijk_std_rel_error(%),ijk_std_cv,jkab_std,jkab_std_rel_error(%),jkab_std_cv,True_Y,RF_Y_pred,WB_Y_pred,wb_emp_std,rf_emp_std,ijk_biased_std,ijk_biased_std_rel_error(%),ijk_biased_std_cv,wb_mse,rf_mse,events_bin
0.1,0.09,0.0142,3.607,0.43661971830985913,0.0159,15.8298,0.45283018867924524,0.9458,0.9302,0.9308,0.0045,0.0137,0.0255,85.1481,0.5450980392156862,0.0834,0.083,EE1
0.1,0.18,0.0242,-0.6715,0.34710743801652894,0.0266,8.8726,0.35714285714285715,0.8822,0.8515,0.855,0.0068,0.0244,0.0405,65.9061,0.35802469135802467,0.1462,0.145,EE2
0.1,0.27,0.0336,-0.3562,0.3303571428571429,0.0365,8.4407,0.326027397260274,0.813,0.7679,0.7763,0.0085,0.0337,0.0547,62.3384,0.31444241316270566,0.188,0.1866,EE3
0.1,0.36,0.0422,-2.1882,0.3175355450236967,0.0461,6.7424,0.3123644251626898,0.7378,0.6798,0.6941,0.0099,0.0432,0.0675,56.3481,0.2874074074074074,0.2118,0.2109,EE4
0.3,0.07,0.0148,7.8873,0.527027027027027,0.0199,45.514,0.5879396984924623,0.9528,0.9393,0.9404,0.0051,0.0137,0.0247,80.3647,0.6072874493927125,0.0746,0.0744,EE1
0.3,0.14,0.0257,3.0838,0.46303501945525294,0.0333,33.7425,0.4804804804804804,0.897,0.869,0.8734,0.0075,0.0249,0.0403,61.7317,0.46898263027295284,0.134,0.1332,EE2
0.3,0.21,0.0355,4.0008,0.3774647887323944,0.0457,33.9753,0.3763676148796499,0.8348,0.7939,0.8016,0.0093,0.0341,0.0542,59.1128,0.3726937269372694,0.1772,0.1762,EE3
0.3,0.28,0.045,3.9722,0.36,0.058,33.9106,0.346551724137931,0.7677,0.7141,0.7268,0.0109,0.0433,0.0675,55.9563,0.33925925925925926,0.2046,0.2039,EE4
0.5,0.05,0.0165,12.7145,0.8303030303030303,0.0277,89.5886,0.9277978339350181,0.961,0.9498,0.9509,0.0056,0.0146,0.0251,71.9007,0.896414342629482,0.0636,0.0639,EE1
0.5,0.1,0.0271,14.1019,0.5940959409594097,0.0435,83.1995,0.6482758620689656,0.9179,0.8947,0.8983,0.008,0.0237,0.0395,66.2197,0.620253164556962,0.1146,0.1146,EE2
0.5,0.15,0.0381,20.5116,0.4855643044619422,0.0606,91.6689,0.4983498349834984,0.8684,0.8338,0.8403,0.01,0.0316,0.0541,71.1199,0.4916820702402957,0.1565,0.1562,EE3
0.5,0.2,0.047,16.7679,0.4127659574468085,0.0752,86.8314,0.40824468085106386,0.8145,0.769,0.7789,0.0117,0.0402,0.0661,64.2483,0.40544629349470496,0.1874,0.1872,EE4
0.7,0.03,0.0192,29.1459,1.1510416666666667,0.05,236.1145,1.218,0.9704,0.9624,0.9629,0.006,0.0149,0.0264,77.5628,1.1666666666666667,0.0501,0.0514,EE1
0.7,0.06,0.0301,39.7167,0.7441860465116279,0.0758,251.2533,0.837730870712401,0.9395,0.9224,0.9248,0.0085,0.0216,0.0398,84.3821,0.7738693467336684,0.0911,0.0925,EE2
0.7,0.09,0.0426,39.789,0.5469483568075117,0.1119,267.5231,0.6309204647006256,0.9011,0.8738,0.8783,0.011,0.0305,0.055,80.6648,0.5709090909090908,0.1308,0.1326,EE3
0.7,0.12,0.0566,40.5733,0.568904593639576,0.1627,304.3293,0.5998770743700061,0.862,0.8249,0.8322,0.0132,0.0402,0.0719,78.6159,0.5702364394993046,0.1612,0.1636,EE4
