censored_proportion,events_proportion,ijk_std,ijk_std_rel_error(%),ijk_std_cv,jkab_std,jkab_std_rel_error(%),jkab_std_cv,True_Y,RF_Y_pred,WB_Y_pred,wb_emp_std,rf_emp_std,ijk_biased_std,ijk_biased_std_rel_error(%),ijk_biased_std_cv,wb_mse,rf_mse,events_bin
0.1,0.09,0.0225,-5.6493,0.6977777777777777,0.0298,25.1532,0.697986577181208,0.9458,0.9391,0.9317,0.0093,0.0238,0.0564,136.7892,0.696808510638298,0.0828,0.084,EE1
0.1,0.18,0.0376,3.115,0.4920212765957446,0.048,31.6804,0.525,0.8822,0.8606,0.856,0.0138,0.0365,0.0861,136.0805,0.4518002322880372,0.146,0.1467,EE2
0.1,0.27,0.0505,0.7668,0.396039603960396,0.0626,24.7722,0.41373801916932906,0.813,0.7771,0.7771,0.0175,0.0501,0.1114,122.152,0.36445242369838415,0.1882,0.1889,EE3
0.1,0.36,0.0615,2.1755,0.35772357723577236,0.0758,26.0812,0.36411609498680736,0.7378,0.6888,0.6945,0.0203,0.0602,0.1315,118.6263,0.29277566539923955,0.2127,0.2138,EE4
0.3,0.07,0.0243,-3.519,0.8477366255144033,0.0442,75.8293,0.7941176470588235,0.9528,0.9481,0.9414,0.0105,0.0252,0.0563,123.6438,0.802841918294849,0.0741,0.0758,EE1
0.3,0.14,0.0408,9.2869,0.5539215686274509,0.0692,85.4187,0.550578034682081,0.897,0.8781,0.8747,0.0155,0.0373,0.0857,129.5036,0.5355892648774796,0.1345,0.1362,EE2
0.3,0.21,0.055,12.5431,0.43454545454545457,0.0905,85.3691,0.4165745856353591,0.8348,0.805,0.8027,0.0188,0.0488,0.1099,125.0792,0.39854413102820746,0.1775,0.1796,EE3
0.3,0.28,0.0679,6.9662,0.40353460972017674,0.1111,75.062,0.3762376237623762,0.7677,0.725,0.7272,0.0218,0.0634,0.1325,108.7716,0.3479245283018868,0.2057,0.208,EE4
0.5,0.05,0.0264,-15.8203,1.143939393939394,0.0669,112.9334,1.0433482810164425,0.961,0.9579,0.9522,0.0115,0.0314,0.0554,76.2236,1.0252707581227438,0.0638,0.0667,EE1
0.5,0.1,0.0433,12.2805,0.7020785219399538,0.0995,158.058,0.6934673366834171,0.9179,0.9044,0.8997,0.0164,0.0386,0.0825,114.1062,0.6666666666666666,0.1159,0.1191,EE2
0.5,0.15,0.0576,18.9816,0.5277777777777778,0.1303,169.1969,0.511128165771297,0.8684,0.8449,0.8423,0.0204,0.0484,0.1061,119.2004,0.4967012252591894,0.1581,0.1618,EE3
0.5,0.2,0.0741,21.8099,0.44804318488529016,0.1651,171.2616,0.4282253179890975,0.8145,0.7798,0.7801,0.0237,0.0609,0.1324,117.5129,0.4116314199395771,0.1891,0.1943,EE4
0.7,0.03,0.0346,-21.3828,1.5895953757225434,0.1473,234.4197,1.3964697895451461,0.9704,0.9673,0.9652,0.0124,0.0441,0.0615,39.6177,1.416260162601626,0.0505,0.0571,EE1
0.7,0.06,0.0511,14.1968,1.0430528375733856,0.204,355.5724,0.9946078431372549,0.9395,0.9317,0.9265,0.0175,0.0448,0.0849,89.5589,0.9517078916372201,0.0928,0.1011,EE2
0.7,0.09,0.0728,19.8708,0.8090659340659341,0.3071,405.802,0.7880169325952459,0.9011,0.8817,0.8797,0.0228,0.0607,0.1152,89.7116,0.7508680555555555,0.1327,0.1429,EE3
0.7,0.12,0.0931,32.549,0.6852846401718582,0.4401,526.7854,0.6893887752783459,0.862,0.8353,0.8337,0.0266,0.0702,0.1432,104.0056,0.6291899441340782,0.1637,0.1765,EE4
