wb_pred,rf_pred,true_pred,wb_test_mse,rf_test_mse,ijk_wager_var,ijk_butt_var,ijk2_butt_var,boot_var,portion_zero_weights_train
0.5299344206639756,0.6127236078188636,0.544682573691026,0.22016393343969506,0.236689861420693,0.0,0.0,0.0,0.0,0.2922922922922923
0.5458448522469547,0.5325078296266413,0.544682573691026,0.2200071238855644,0.22166200194219682,0.0,0.0,0.0,0.0,0.2912912912912913
0.566752798007512,0.5614584699124627,0.544682573691026,0.22124089987082585,0.2285071401950171,0.0,0.0,0.0,0.0,0.3083083083083083
0.545786378140792,0.5526891417867971,0.544682573691026,0.20671412014912482,0.21453711860168384,0.0,0.0,0.0,0.0,0.30930930930930933
0.556462865961751,0.5863387647067425,0.544682573691026,0.2293708425895472,0.23424590391323705,0.0,0.0,0.0,0.0,0.3023023023023023
0.5883272614317775,0.5011972118581587,0.544682573691026,0.2189382663988856,0.22537246673803732,0.0,0.0,0.0,0.0,0.2732732732732733
0.5291773954343051,0.49412298882728045,0.544682573691026,0.2351858744347833,0.24700592267135407,0.0,0.0,0.0,0.0,0.2672672672672673
0.5676234148290158,0.6593209403656608,0.544682573691026,0.21833876150233048,0.22479238830611076,0.0,0.0,0.0,0.0,0.2912912912912913
0.5657952469542579,0.6009708917533875,0.544682573691026,0.20678286973005977,0.2195159744676678,0.0,0.0,0.0,0.0,0.2962962962962963
0.5322805318721148,0.5104604531556081,0.544682573691026,0.2356501529509124,0.23499976060842664,0.0,0.0,0.0,0.0,0.2722722722722723
0.5489559207151026,0.46756966577236475,0.544682573691026,0.2183592678357743,0.22481405315918,0.0,0.0,0.0,0.0,0.29429429429429427
0.5658423996767903,0.5437658438611844,0.544682573691026,0.21416353002542893,0.22086041940744583,0.0,0.0,0.0,0.0,0.3123123123123123
0.5568749148980356,0.5590821065510098,0.544682573691026,0.21660444529829476,0.21778801187403574,0.0,0.0,0.0,0.0,0.27427427427427425
0.5435576649010878,0.5682755977258371,0.544682573691026,0.20191101085841995,0.20716727584930286,0.0,0.0,0.0,0.0,0.29429429429429427
0.5559726194879699,0.5958986086514566,0.544682573691026,0.22158812992429133,0.2278264151860912,0.0,0.0,0.0,0.0,0.2972972972972973
0.5428332581763279,0.5373713817994649,0.544682573691026,0.22707509674522658,0.2298026204721586,0.0,0.0,0.0,0.0,0.28428428428428426
0.49218068064392906,0.5045109734933454,0.544682573691026,0.22444228017785023,0.23167083791430254,0.0,0.0,0.0,0.0,0.2932932932932933
0.5668273942657033,0.5705801830230248,0.544682573691026,0.23989281776099608,0.2371830993161959,0.0,0.0,0.0,0.0,0.2902902902902903
0.5360855583000312,0.5264256655830942,0.544682573691026,0.21761753725675487,0.22366865096209293,0.0,0.0,0.0,0.0,0.3003003003003003
0.5479965391274294,0.6552787342845815,0.544682573691026,0.22010858037030587,0.22350920601461843,0.0,0.0,0.0,0.0,0.2822822822822823
0.5267939152633122,0.5634614029430511,0.544682573691026,0.22857868358499753,0.23453304579539247,0.0,0.0,0.0,0.0,0.2982982982982983
0.5527295801873096,0.47645361348878623,0.544682573691026,0.2119575174903905,0.21467982617704678,0.0,0.0,0.0,0.0,0.2972972972972973
0.5444946107187336,0.5383806641150058,0.544682573691026,0.22973176706182893,0.23861558360343865,0.0,0.0,0.0,0.0,0.2732732732732733
0.5472923274934007,0.5529709785428384,0.544682573691026,0.22616702396596294,0.23044259140419934,0.0,0.0,0.0,0.0,0.28428428428428426
0.5382492201347623,0.5923478412235623,0.544682573691026,0.23052872371561534,0.23376396889863754,0.0,0.0,0.0,0.0,0.2972972972972973
0.5604178554940263,0.6591702120814175,0.544682573691026,0.21790818592406022,0.21530531572296308,0.0,0.0,0.0,0.0,0.2982982982982983
0.5474960411591397,0.550556216679905,0.544682573691026,0.2147611146841608,0.23034573205090186,0.0,0.0,0.0,0.0,0.27927927927927926
0.5399052701630693,0.567862520673578,0.544682573691026,0.24022556142773854,0.2483700509475517,0.0,0.0,0.0,0.0,0.2872872872872873
